Profile,Platform,Profile Link,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cy_xAuqPqN7/,From the streets to the studios the shop to the stage. The #adidasRivalry pushed the game forward for all of us. #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-10-29 04:35 PM,30808,-0.37,0.08951,106,-0.83,30702,-0.37,,234831,258314
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C0ZTB_WLpzP/,Discover the 2023-2024 fearofgodathletics opening season collection available now on fearofgod.com and CONFIRMED.,IMAGE,2023-12-03 10:05 AM,30668,-0.37,0.08894,133,-0.79,30535,-0.37,,186993,205692
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxC0a06oj1U/,The press called it Samba and we’ve danced with the name ever since. #adidasSamba #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-11 04:00 AM,30582,-0.38,0.08885,125,-0.8,30457,-0.37,,1108394,1219233
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyV2ejbLlYP/,VISIONARY. BRIDGE. ORIGINALWelcome back edisonchenedisonchen x adidasoriginals#1000originals#adidasoriginals,IMAGE,2023-10-13 09:55 AM,30557,-0.38,0.08878,264,-0.58,30293,-0.37,,236499,260149
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Ctt3tQmg8IO/,De 🇵🇷 pa 🇫🇷 sin escalas ​Meet the latest colorway in the badbunnypr Response CL collection: Triple Black. Draw is now open on the adidas CONFIRMED app. #adidasxbadbunny.​,reel,2023-06-20 11:37 AM,30538,-0.38,0.08877,243,-0.62,30295,-0.37,,270316,297348
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C5EFd4qoZE1/,An exploration of Gazelle Samba and Spezial around the globe — styled by you. Curated from thousands of social posts from our community and fit inspo from our partners. Explore the looks 🔗 link in bio #adidasGazelle #adidasSamba #adidasSpezial,reel,2024-03-28 12:00 PM,30472,-0.38,0.08831,151,-0.76,30321,-0.37,,270321,297353
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C5vwKYro8dd/,Showing up in style.  #adidasSamba,CAROUSEL_ALBUM,2024-04-14 11:00 AM,30380,-0.38,0.08804,94,-0.85,30286,-0.37,,267158,293874
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CuypODWIG_z/,THE ORIGINAL 🔃 REMIXED. Introducing the Superstar XLG — The iconic silhouette receives a bold elevated platform. Made for ever-evolving streetwear aesthetics.-Available globally on adidas.com and adidas stores. Link in bio.#SuperstarXLG,CAROUSEL_ALBUM,2023-07-17 04:11 AM,30268,-0.38,0.08799,140,-0.78,30128,-0.38,,267507,294258
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C3kthmfroru/,What happens when two legacies collide and a new era begins? Welcome to the house of edisonchen.Available in-store online and on CONFIRMED February 23rd.,reel,2024-02-20 10:05 AM,30266,-0.38,0.08771,562,-0.12,29704,-0.39,,293923,323315
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyBXkYJN2Nn/,A harmonious collision of ideas the Moncler x adidas Originals collection continues on its journey to develop The Art of Explorers.,CAROUSEL_ALBUM,2023-10-05 11:00 AM,30229,-0.38,0.08783,114,-0.82,30115,-0.38,,236837,260520
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cw9qzYKob-w/,Gazelle: the comeback kicks with musical roots in pop culture.#adidasGazelle #WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-09 04:00 AM,29976,-0.39,0.08709,128,-0.8,29848,-0.38,,1095321,1204853
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxFZLQjIPoe/,How has #adidasSamba evolved over the years? Swipe to find out.#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-12 03:59 AM,29489,-0.4,0.08568,265,-0.58,29224,-0.4,,1151389,1266528
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C6Jf-i1IEgT/,Originals Icons ruling the streets worldwide. babymonster_ygofficial 🌍👟  #adidasSamba #adidasSpezial #adidasGazelle,reel,2024-04-24 11:01 AM,29268,-0.4,0.08482,330,-0.48,28938,-0.4,,339736,373710
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyYJbPNuW5b/,Congrats edisonchen Sights from the SS24 clot Fashion Show.,CAROUSEL_ALBUM,2023-10-14 07:19 AM,28971,-0.41,0.08417,182,-0.71,28789,-0.41,,246660,271325
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Ct1sJDCreYB/,A postcard from IVY PARADISE. Available now — link in bio to shop. #adidasxivypark #ivyparadise,CAROUSEL_ALBUM,2023-06-23 12:03 PM,28801,-0.41,0.08372,247,-0.61,28554,-0.41,,270026,297028
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C4vgXpyIPSi/,Crafted in Germany and created in collaboration with Canadian design studio JJJJound the Samba sneaker gets a premium minimalist refresh. ​​Reserve now on CONFIRMED and visit jjjjound.com for more information on the release.​🔗 Link in bio.,reel,2024-03-20 12:11 PM,28797,-0.41,0.08345,306,-0.52,28491,-0.41,,331318,364450
