Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C1hfpWeoWCD/,💞💫 2023 PHOTO-DUMP 💫💞 Take a look back at some iconic & incredible moments over the last year 🥹 Here are a few of our faves 🫶 Whats your 2023 highlight?! ✨1) Baby Bambi was born mollymae & tommyfury 👑2) badgalriri at the superbowl 3) #MetGala2023 ❤️‍🔥4) Wedding of the year sophiehabboo & jamielaing 5) kourtneykardash baby announcement 6) mayajama & stormzy got back together 🥹7) New Couple Alert 🚨 kyliejenner & tchalamet 8) millybobby engagement 💍9) Harrys new hair cut 🙌 harrystyles 10) mollymae & tommyfury engagement 🫶There are sooooo many more incredible moments... 🙌,CAROUSEL_ALBUM,2023-12-31 11:00 AM,122196,6,0.6798,103,-0.96,122093,7.42,,192968,212265,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/CpifWmGDvE4/,💖 BE YOU 💖 Not just today but EVERYDAY ✨ brunna.teixeira_ in our Black Stretch Satin Double Strap Bra & Black Stretch Satin Strappy Thong 🌷 #PrettyPowerful,reel,2023-03-09 04:00 PM,121872,5.98,0.678,1509,-0.55,120363,7.3,,174207,191628,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/Csg27eUI-Vx/,💍🩷 THE NEWLY WEDS 🩷💍 A wedding we are SO obsessed with 😫 sophiehabboo & jamielaing ✨,CAROUSEL_ALBUM,2023-05-21 01:22 PM,121424,5.95,0.67551,79,-0.97,121345,7.37,,,,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C1Pt_WqM3I4/,💖✨🥹 Last Christmas vs This Christmas 🥹✨💖 We can’t cope!! 🙈 mollymae & tommyfury & Baby Bambi 😩,CAROUSEL_ALBUM,2023-12-24 01:19 PM,120901,5.92,0.6726,93,-0.97,120808,7.33,,192532,211786,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C4Df9mOuzEV/,LAST CHANCE TO ENTER... 💸🏝️💖WIN your DREAM holiday to ANY DESTINATION for you and a plus one ✈️ PLUS a Limited Edition Leopard Print JACQUEMUS Bag AND £1000 CASH straight into your bank account 🤑✨☁️ MUST FOLLOW prettylittlething☁️ COMMENT ‘💖’ on this post (more comments = more entries)☁️ TAG a bestie in the commentsShare to stories for your besties to see 🤝 T&C’s can be found www.prettylittlething.com 👏 Competition ends 11:59pm 05.03.24 ⏰,CAROUSEL_ALBUM,2024-03-03 09:00 AM,120119,5.88,0.66825,103090,29.61,17029,0.17,,689398,758338,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C3siHamsrep/,LOVE IS IN THE AIR 🥺 Our #LoveIslandAllStars winners mollysmith19 & tomclare__ ❤️‍🔥 We can’t cope!!! 🥺,IMAGE,2024-02-23 10:56 AM,117546,5.73,0.65393,126,-0.96,117420,7.1,,165534,182087,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/CzrofHaskfv/,THIS IS NOT A DRILL 🚨 The rumours are true… Mr harrystyles has officially HARD LAUNCHED the new haircut 💇‍♂️ Bye bye luscious locks 🫨,IMAGE,2023-11-15 04:27 PM,114687,5.57,0.63803,1222,-0.63,113465,6.83,,,,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C3spZPMMhfN/,POV… 💸🏝️💖WIN your DREAM holiday to ANY DESTINATION for you and a plus one ✈️ PLUS a Limited Edition Leopard Print JACQUEMUS Bag AND £1000 CASH straight into your bank account 🤑✨☁️ MUST FOLLOW prettylittlething☁️ COMMENT ‘💖’ on this post (more comments = more entries)☁️ TAG a bestie in the commentsShare to stories for your besties to see 🤝 T&C’s can be found www.prettylittlething.com 👏 Competition ends 11:59pm 05.03.24 ⏰,IMAGE,2024-02-23 12:00 PM,114137,5.53,0.63497,83939,23.92,30198,1.08,,299845,329829,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C3TbvSzMIJy/,LOVED UP ERA 🏹 selenagomez & itsbennyblanco lookin’ alllllllll cute 🥹👏 We are obsessed with them both ❤️,CAROUSEL_ALBUM,2024-02-13 05:00 PM,113945,5.52,0.6339,176,-0.94,113769,6.85,,194436,213880,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/CwdiYrFMYvZ/,Ermmmmm Owkayyy 🥹 Our year has been made?! 🫶 mayajama & stormzy have been seen holding hands 👀 Does this mean they are official?! 🙈,CAROUSEL_ALBUM,2023-08-27 04:30 PM,113138,5.48,0.62941,260,-0.92,112878,6.78,,191013,210114,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/Cz9LrNesB8I/,WINNER: rose.nowell.xx 🦄💘 WIN £500 TO SPEND ON PLT 💘🦄 Pink Friday is pending and we wanna celebrate 🤝 We’re giving ONE LUCKY WINNER a £500 PLT voucher 👀 To enter👇✨ MUST follow prettylittlething & amicharlize ✨ COMMENT ‘🦄’ as many times as possible ✨ TAG 3 besties in the comments Share to your stories for your besties to see 🫶 Competition closes 29.11.23. Winner announced 30.11.23. T&C’s at www.prettylittlething.com.,IMAGE,2023-11-22 12:02 PM,112806,5.46,0.62756,63666,17.9,49140,2.39,,,,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/C3Ok_xbITAw/,Could it actually be happening?! 😱The Biebers are at Super Bowl LVIII with rumours that Justin will still be joining Usher for his halftime show 👀,reel,2024-02-11 07:46 PM,110220,5.31,0.61318,343,-0.89,109877,6.58,,186164,204781,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C3-gR2koSCZ/,Happy 30th Birthday justinbieber 💗✨,CAROUSEL_ALBUM,2024-03-01 10:27 AM,106701,5.11,0.5936,195,-0.94,106506,6.34,,275993,303592,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/Cw1aPXcsJUr/,THE MUSE. THE MODEL. THE MOMENT. #PLTbyNaomi naomi,reel,2023-09-05 11:02 PM,103428,4.92,0.57539,1082,-0.67,102346,6.06,,170644,187709,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C01qwoWoL82/,Spotted on our PINK CARPET 👀📸 Our VIP’s partied in style last night at our PLT Christmas party 💗🍸✨,CAROUSEL_ALBUM,2023-12-14 10:31 AM,103148,4.9,0.57383,144,-0.95,103004,6.1,,185510,204061,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/CupE5s7I8mX/,HEY BARBIE LETS GO PARTY 🎀💕✨ Last night looked like a complete dream ☁️ Everyone celebrate the new Barbie movie at the premier in London 🤩 We are totally OBSESSED 💅,CAROUSEL_ALBUM,2023-07-13 11:01 AM,102828,4.89,0.57205,85,-0.97,102743,6.09,,147883,162671,
