Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/Cpr2NgSAWhH/,The Spring Summer 2023 collection re-envisions the Dionysus with a new top handle. Discover more at the link in bio. #GucciDionysus #GucciSS23,reel,2023-03-12 6:14,24800,-0.72,0.04744,137,-0.79,24663,-0.72,,1176960,1294656
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CuERkfzoqU-/,Jannik Sinner for A Hero?ôs Journey. Each chapter of the series explores the lives of celebrated sports figures asking them to share their often-challenging road to the top while showcasing key looks from the latest Gucci collections. Discover more at link in bio. #JannikSinner #AHerosJourney gqsports,IMAGE,2023-06-29 4:00,24404,-0.72,0.04668,115,-0.82,24289,-0.72,,985608,1084169
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CuE2ARouwmp/,For the new episode of A Hero?ôs Journey Jannik Sinner carries copies of his imagined autobiography in a Gucci Porter trolley created in collaboration with FPM Milano. Discover more at link in bio. #JannikSinner #AHerosJourney gqsports #GucciPorter #GucciValigeria,IMAGE,2023-06-29 9:18,24263,-0.72,0.04641,143,-0.78,24120,-0.72,,1049759,1154735
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/C30DI1hMGqN/,Solange Knowles Mark Ronson Grace Gummer Hanni Ghali Kirsten Dunst Olivia Dean Emma Chamberlain Daisy Edgar-Jones Ho Ngoc Ha Anna Diop #GucciFW24 #MFW,reel,2024-02-26 9:00,24164,-0.72,0.04612,436,-0.33,23728,-0.73,,1845513,2030064
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/C2hGtIqiaHc/,Daria and David together again. Daria Werbowy is captured by David Sims wearing exquisitely hand-crafted pieces from the Gucci Allegoria High Jewelry collection in the latest campaign by Creative Director Sabato De Sarno who brings together the people he met at the start. Creative Director: Sabato De Sarno Artistic Director: Riccardo Zanola Art Directors: Ezra Petronio & Lana Petrusevych Photographer: David Sims Stylist: Alastair McKimm #GucciHighJewelry,reel,2024-01-25 4:00,23999,-0.72,0.0458,258,-0.6,23741,-0.73,,1253929,1379321
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CtoEO_DMcLV/,Inspired by the Horsebit Loafer digital artist Blatant Space created a picture gallery featuring fantastical characters displayed at the House?ôs new exhibition at Spazio Maiocchi in Milan today until 6 p.m. Discover more at link in bio. #GucciHorsebit #BlatantSpace #MFW,CAROUSEL_ALBUM,2023-06-18 5:04,23920,-0.73,0.04575,99,-0.84,23821,-0.73,,1102201,1212421
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CssuipfsqiV/,A fresh take on nautical details for Gucci Summer Stories set by the sea. Discover more at the link in bio. ?£‚Å£#GucciSummerStories,IMAGE,2023-05-26 4:00,23889,-0.73,0.0457,138,-0.78,23751,-0.73,,955688,1051257
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CtOoV_kMWu1/,At the Gucci Archive in Florence?ôs historic Palazzo Settimanni exquisitely crafted pieces from the new Gucci Allegoria High Jewelry collection were presented.?£‚Å£#GucciHighJewelry,CAROUSEL_ALBUM,2023-06-08 8:00,23882,-0.73,0.04579,96,-0.85,23786,-0.73,,1092264,1201491
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cr8O9qksL06/,A selection of styles from the Gucci Link to Love collection are embellished with precious stones such as diamonds and green?Øtourmalines. Discover more at the link in bio.??#GucciLinkToLove #GucciJewelry,CAROUSEL_ALBUM,2023-05-07 8:00,23856,-0.73,0.04563,103,-0.84,23753,-0.73,,1048838,1153721
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cr8--mlsF1o/,An exploration of modern romance the Gucci Link to Love fine jewelry designs can be paired in infinite ways to create unique combinations. Discover more at the link in bio. ??#GucciLinkToLove #GucciJewelry,CAROUSEL_ALBUM,2023-05-07 15:00,23847,-0.73,0.04561,81,-0.87,23766,-0.73,,998569,1098425
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Ctle92qsNlJ/,Visual artist Anna Franceschini created a cabinet of curiosities for the House?ôs temporary exhibition during Milan Fashion Week showcasing a selection of accessories and silks from the Gucci Archive that feature the Horsebit or equestrian themes?îincluding the original loafer from 1953?îand a 3D-printed reinterpretation of the House?ôs iconic style by PET LIGER which was originally one of three digitally handcrafted versions created for the Vault Art Space Collection.Spazio Maiocchi Milan June 17-18 from 10 a.m. to 6 p.m. Discover more at link in bio. #GucciHorsebit #AnnaFranceschini #MFW,CAROUSEL_ALBUM,2023-06-17 5:00,23731,-0.73,0.0455,139,-0.78,23592,-0.73,,1210932,1332025
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CzRMIkBr088/,An ode to life after dark.Gucci Ancora Notte the first eveningwear collection designed by Sabato De Sarno worn by Nyajuok Gatdet and Abbey Lee at the 2023 LACMA Art+Film Gala.#GucciAncoraNotte #GucciLacma2023,CAROUSEL_ALBUM,2023-11-05 9:59,23585,-0.73,0.04503,151,-0.76,23434,-0.73,,232555,255811
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CsyafPZMdP6/,In The 21 Halle Bailey reveals what?ôs in her Gucci Horsebit 1955 bag and something important she?ôs learned recently. Watch the full interview via link in bio. #HalleBailey #GucciHorsebit1955,reel,2023-05-28 9:00,23550,-0.73,0.04505,167,-0.74,23383,-0.73,,1138199,1252019
