Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7208490005633846533,Frolic in this #DiorSummer23 garden,2023-03-15 10:00,video,11,4083,-0.94,3812,0.05,52,0.05,172,47,0.06,168800,2.41884,original sound Dior,,diorsummer23,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7317220793098833184,INSIDE THE DREAM - BEHIND THE SCENES OF A HIGH PERFUMERY CREATION ¬† Available to watch on Prime Video and exclusively on CANAL+ in France. ¬† #DiorBeauty #DiorParfums #JadoreDior #InsideTheDream,2023-12-27 5:34,video,20,4048,-0.94,3911,0.05,27,0.02,137,43,0.05,86230,4.69442,,,diorbeauty diorparfums jadoredior insidethedream,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7213681680551267590,A #DiorSummer23 celebration of the outdoors,2023-03-24 9:00,video,10,4001,-0.94,3684,0.05,59,0.06,195,63,0.08,137900,2.90138,original sound Dior,,diorsummer23,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7304711664518139168,Deck the holiday table with #DiorMaison and @Kelly Wearstler this Thanksgiving.,2023-11-23 12:32,video,83,3944,-0.94,3710,0.05,24,0.02,234,41,0.05,108275,3.64258,original sound Dior,,diormaison,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7285394087321079072,Dior J?ôadore Exhibition a journey of artistic freedom unveiling its golden legend the √âcole Nationale Sup√©rieure des Beaux-Arts in Paris till October 8th. ¬† #DiorBeauty #DiorParfums #JadoreDior #FlowersAreGold,2023-10-02 12:10,video,30,3917,-0.94,3770,0.05,51,0.05,147,37,0.05,85326,4.59063,original sound Dior,,diorbeauty diorparfums jadoredior flowersaregold,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7340667705726455072,Rosal√≠as smile says it all at the Autumn-Winter 2024-2025 show! #TikTokFashion #ParisFashionWeek,2024-02-28 9:59,video,9,3786,-0.94,3641,0.05,20,0.02,145,50,0.06,57241,6.61414,,,,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7326204802067615008,Lewis Hamilton mastered the effortless entrance at #DiorWinter24¬† #TikTokFashion ,2024-01-20 10:36,video,10,3691,-0.94,3498,0.04,45,0.04,193,54,0.07,62647,5.89174,,,diorwinter24 tiktokfashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7242303298617789723,@parleyfortheoceans highlight the beauty & fragility of our oceans which sustain life on our planet and why we should take action to protect and preserve them as part of our #ParleyTakeover for #WorldOceansDay #oceanbeauty ,2023-06-08 9:15,video,40,3685,-0.94,3685,0.05,72,0.07,0,65,0.09,125458,2.93724,original sound Dior,,parleytakeover worldoceansday oceanbeauty,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7322156888349625633,Robert Downey Jr.?ôs burgundy wool and silk Oblique suit is a winning choice!,2024-01-10 4:00,video,7,3636,-0.95,3527,0.04,9,0,109,29,0.04,64745,5.61588,original sound - Dior,Dior,,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7219319270457609477,I spy some fresh #DiorSummer23 looks!,2023-04-07 10:45,video,9,3630,-0.95,3630,0.05,37,0.03,0,39,0.05,96691,3.75423,original sound Dior,,diorsummer23,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7334656264749714721,Enter the Dior Light Suite in the Dior Spa Plaza Athenee for a brand new experience based on circadian rhythms and specialised in sleeping therapies by Dior Beauty. From electrostimulation to the application of the new Prestige Le Baume de Minuit my favourite part of the treatment was the Dior Skin Light LED Mask a process that renews healthy cell growth with other benefits such as anti-inflammatory properties for the skin. #DiorBeauty #DiorSpa @Rahi Chadda ,2024-02-12 5:12,video,36,3630,-0.95,3454,0.04,41,0.04,176,40,0.05,69601,5.21544,,,diorbeauty diorspa ,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7264870270861659425,Hello sunshine! #Diorivieras pink oasis in Bali is calling.,2023-08-08 4:47,video,40,3528,-0.95,3437,0.04,41,0.04,165,50,0.06,95700,3.68652,original sound Dior,,dioriviera,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7211545918263282950,A pure and raw makeup yet dynamic like #DiorAW23?ôs runaway.  ¬© FredStauffer  #DiorBeauty #DiorMakeup,2023-03-17 12:01,video,20,3454,-0.95,3454,0.04,44,0.04,0,39,0.05,135917,2.54126,original sound Dior,,dioraw23?ôs diorbeauty diormakeup,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7241119814817828122,Spectacular 24h volume. #Diorshow Iconic Overcurl is the new must-have refillable mascara from Dior?ôs wardrobe.  ¬† #DiorBeauty #DiorMakeup ,2023-06-05 4:43,video,10,3240,-0.95,3239,0.04,65,0.06,1,100,0.13,153656,2.10861,original sound Dior,,diorshow diorbeauty diormakeup,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7226405223781141787,The Summer Look encapsulates juicy lips sparkly eyes sun-kissed complexion and luminous colors inspired by the French Riviera. @Peter Philips  #DiorBeauty #DiorMakeup #SummerLook,2023-04-26 13:03,video,19,3240,-0.95,3240,0.04,64,0.06,0,45,0.06,168915,1.91812,original sound Dior,,diorbeauty diormakeup summerlook,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7219342468611919110,Get the details of the beauty look for the #DiorFall23 show imagined by Peter Philips. ¬©Dnl.darmon #DiorBeauty #DiorMakeup #DiorFall23,2023-04-07 12:15,video,48,3239,-0.95,3239,0.04,73,0.07,0,24,0.03,97955,3.30662,original sound Dior,,diorfall23 diorbeauty diormakeup,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7208886767531904261,Personified power of femininity at #DiorAW23 #TikTokFashion ,2023-03-10 7:02,video,39,3172,-0.95,3172,0.04,54,0.05,0,21,0.02,122803,2.583,son original Dior,,dioraw23 tiktokfashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7315093724172700961,Embrace the magic of the season with the reinvented J?ôAdore Parfum D?ôEau. ¬† #DiorBeauty #DiorHoliday #DreamInDior,2023-12-21 11:59,video,15,3008,-0.95,2863,0.04,49,0.05,145,34,0.04,75288,3.99532,,,diorbeauty diorholiday dreamindior,
